,Unnamed: 0,avg_vol_3m,change,company_name,last_price,market_cap,pe_ratio_ttm,percent_change,sector_name,symbol,volume,Apr_1_2024,Mar_1_2024,Feb_1_2024,Jan_1_2024,Dec_1_2023,Nov_1_2023,Oct_1_2023,Sep_1_2023,Aug_1_2023,Jul_1_2023,Jun_1_2023,May_1_2023,Apr_1_2023,Mar_1_2023,Feb_1_2023,Jan_1_2023,Dec_1_2022,Nov_1_2022,Oct_1_2022,Sep_1_2022,Aug_1_2022,Jul_1_2022,Jun_1_2022,May_1_2022,Apr_1_2022,Mar_1_2022,Feb_1_2022,Jan_1_2022,Dec_1_2021,Nov_1_2021,Oct_1_2021,Sep_1_2021,Aug_1_2021,Jul_1_2021,Jun_1_2021,May_1_2021,Apr_1_2021,Mar_1_2021,Feb_1_2021,Jan_1_2021,Dec_1_2020,Nov_1_2020,Oct_1_2020,Sep_1_2020,Aug_1_2020,Jul_1_2020,Jun_1_2020,May_1_2020,Apr_1_2020,Mar_1_2020,Feb_1_2020,Jan_1_2020,Dec_1_2019,Nov_1_2019,Oct_1_2019,Sep_1_2019,Aug_1_2019,Jul_1_2019,Jun_1_2019,May_1_2019,3m_change,3m_rolling_avg,3m_volatility,6m_change,6m_rolling_avg,6m_volatility,12m_change,12m_rolling_avg,12m_volatility,recommendation
18,18,1.702M,-1.29,"Marsh & McLennan Companies, Inc.",199.655,98374811648,25.34,-0.64%,Financial Services,MMC,124303,201.43,205.98,202.27,193.84,189.47,199.42,189.65,190.3,194.99,188.42,188.08,173.18,180.19,166.55,162.14,174.91,165.48,173.18,161.49,149.29,161.37,163.96,155.25,159.95,161.7,170.42,155.41,153.64,173.82,164.02,166.8,151.43,157.2,147.22,140.68,138.35,135.7,121.8,115.22,109.91,117.0,114.64,103.46,114.7,114.91,116.6,107.37,105.92,97.33,86.46,104.56,111.86,111.41,108.07,103.62,100.05,99.89,98.8,99.75,95.6,-0.4152864982449218,203.22666666666666,1.9768718274643373,1.0079229766322433,198.735,5.515429115973963,16.312507217923546,193.08583333333334,8.367897444333842,Buy
19,19,3.685M,-2.2,KKR & Co. Inc.,94.57,84117086208,23.12,-2.27%,Financial Services,KKR,495822,94.47,100.58,98.26,86.58,82.85,75.84,55.4,61.6,62.81,59.38,56.0,51.49,53.07,52.52,56.35,55.81,46.42,51.92,48.63,43.0,50.56,55.46,46.29,54.81,50.97,58.47,60.12,71.16,74.5,74.45,79.67,60.88,64.29,63.76,59.24,55.69,56.58,48.85,45.56,38.95,40.49,37.93,34.15,34.34,35.82,35.37,30.88,27.75,25.21,23.47,28.6,31.9,29.17,29.49,28.83,26.85,25.84,26.75,25.27,22.28,-3.8571137797679684,97.77,2.5183460180576196,24.56487341772151,89.76333333333334,8.785720738157393,83.47251893571567,73.77166666666668,17.375232292611866,Buy
20,20,1.713M,2.8,CME Group Inc.,215.39,77546430464,24.28,+1.32%,Financial Services,CME,225376,215.48,215.29,220.35,205.84,210.6,218.36,213.46,200.22,202.68,198.96,185.29,178.75,185.77,191.52,185.36,176.66,168.16,176.5,173.3,177.13,195.61,199.48,204.7,198.83,219.34,237.86,236.53,229.5,228.46,220.52,220.55,193.38,201.72,212.13,212.68,218.76,201.99,204.23,199.7,181.74,182.05,175.03,150.72,167.31,175.87,166.18,162.54,182.6,178.21,172.91,198.82,217.11,200.72,202.73,205.75,211.34,217.29,194.42,194.11,192.12,-2.2101202632176102,217.04,2.3418084180108916,-1.3189228796482981,214.32000000000002,4.84282630977683,20.54825174825174,205.44000000000003,12.49466419450052,Buy
21,21,2.445M,-1.78,"Intercontinental Exchange, Inc.",130.79,74998775808,31.21,-1.34%,Financial Services,ICE,377222,131.65,137.43,138.42,127.33,128.43,113.84,107.44,110.02,117.99,114.8,113.08,105.95,108.93,104.29,101.8,107.55,102.59,108.31,95.57,90.35,100.85,101.99,94.04,102.39,115.81,132.12,128.12,126.66,136.77,130.72,138.46,114.82,119.53,119.83,118.7,112.88,117.71,111.68,110.31,110.35,115.29,105.51,94.4,100.05,106.23,96.78,91.6,97.25,89.45,80.75,89.22,99.74,92.55,94.17,94.32,92.27,93.48,87.86,85.94,82.21,-4.89091171795982,135.83333333333334,2.9855466649993696,15.64476458186929,129.51666666666668,8.146180427387765,24.256724870221806,120.53166666666665,11.075100325605282,Buy
22,22,"734,180",-6.95,Moody's Corporation,374.255,68324741120,42.87,-1.83%,Financial Services,MCO,108169,379.26,393.03,379.42,392.04,390.56,364.96,308.0,316.17,336.8,352.75,347.72,316.88,313.12,306.02,290.15,322.75,278.62,298.27,264.87,243.11,284.52,310.25,271.97,301.57,316.48,337.41,322.03,343.0,390.58,390.64,404.15,355.11,380.77,376.0,362.37,335.35,326.71,298.61,274.89,266.26,290.24,282.34,262.9,289.85,294.64,281.3,274.73,267.41,243.9,211.5,240.03,256.79,237.41,226.67,220.69,204.83,215.58,214.34,195.31,182.88,-0.0421696273259251,383.90333333333336,6.453858449709655,3.9182376150811082,383.21166666666664,9.928518547877909,19.68568543297147,356.46583333333336,30.13893093059023,Sell
23,23,14.741M,-1.7,"PayPal Holdings, Inc.",63.14,66463690752,16.44,-2.62%,Financial Services,PYPL,2164998,63.19,66.99,60.34,61.35,61.41,57.61,51.8,58.46,62.51,75.82,66.73,61.99,76.0,75.94,73.6,81.49,71.22,78.41,83.58,86.07,93.44,86.53,69.84,85.21,87.93,115.65,111.93,171.94,188.58,184.89,232.59,260.21,288.66,275.53,291.48,260.02,262.29,242.84,259.85,234.31,234.2,214.12,186.13,197.03,204.14,196.07,174.23,155.01,123.0,95.74,107.99,113.89,108.17,108.01,104.1,103.59,109.05,110.4,114.46,109.75,4.723235001657266,63.50666666666667,2.7240696678968286,9.685818434299598,61.815,2.8550875643314324,1.9357960961445326,62.35,5.611310007475971,Buy
24,24,8.522M,-1.11,U.S. Bancorp,40.5,63180001280,13.46,-2.67%,Financial Services,USB,1030930,41.05,44.7,41.96,41.54,43.28,38.12,31.88,33.06,36.53,39.68,33.04,29.9,34.28,36.05,47.73,49.8,43.61,45.39,42.45,40.32,45.61,47.2,46.02,53.07,48.56,53.15,56.54,58.19,56.17,55.34,60.37,59.44,57.39,55.54,56.97,60.78,59.35,55.31,50.0,42.85,46.59,43.21,38.95,35.85,36.4,36.84,36.82,35.56,36.5,34.45,46.44,53.22,59.29,60.03,57.02,55.34,52.69,57.15,52.4,50.2,-2.1687321258341363,42.57,1.551279042167035,7.686253934942287,41.775,2.032844886687949,37.29096989966555,37.895,4.71892554861097,Buy
25,25,2.366M,-2.08,"Apollo Global Management, Inc.",110.645,62864175104,13.36,-1.84%,Financial Services,APO,98882,110.6,112.45,111.8,100.4,93.19,92.0,77.44,89.76,87.34,81.71,76.81,66.85,63.39,63.16,70.9,70.78,63.79,69.39,55.36,46.5,55.58,57.1,48.48,57.64,49.76,61.99,65.26,70.0,72.43,70.78,76.95,61.59,59.78,58.86,62.2,57.34,55.37,47.01,49.46,45.94,48.98,43.62,36.86,44.75,46.87,49.1,49.92,47.6,40.49,33.5,41.66,47.32,47.71,43.8,41.16,37.82,37.73,33.0,34.3,29.41,-1.0733452593917736,111.61666666666667,0.7663042621715133,20.21739130434782,103.40666666666668,8.636225384326702,65.44502617801048,91.69583333333334,14.24470045217597,Buy
26,26,2.099M,-3.19,"The PNC Financial Services Group, Inc.",154.87,61645537280,12.99,-2.02%,Financial Services,PNC,184878,155.93,161.6,147.2,151.21,154.85,133.96,114.47,122.77,120.73,136.89,125.95,115.83,130.25,127.1,157.92,165.43,157.94,168.26,161.83,149.42,158.0,165.94,157.77,175.41,166.1,184.45,199.25,205.99,200.52,197.0,211.03,195.64,191.1,182.41,190.76,194.68,186.95,175.41,168.36,143.52,149.0,138.07,111.88,109.91,111.2,106.67,105.21,114.04,106.67,95.72,126.4,148.55,159.63,153.21,146.7,140.16,128.93,142.9,137.28,127.26,5.930706521739143,154.91,5.922854041760614,16.400418035234395,150.79166666666666,8.718492638575137,34.61970128636796,136.7825,16.180893117604274,Sell
27,27,"930,211",-3.83,Aon plc,305.0,60528779264,24.38,-1.24%,Financial Services,AON,66259,311.02,333.72,315.99,298.43,291.02,328.49,309.4,324.22,333.39,318.5,345.2,308.29,325.18,315.29,304.05,318.68,300.14,308.28,281.49,267.87,279.26,291.04,269.68,275.67,287.99,325.63,292.14,276.44,300.56,295.77,319.92,285.77,286.86,260.03,238.76,253.37,251.44,230.11,227.71,203.1,211.27,204.89,184.01,206.3,199.99,205.22,192.6,196.95,172.67,165.04,208.0,220.25,208.29,203.61,193.16,193.57,194.85,189.25,192.98,180.07,-1.5728345833729,320.24333333333334,9.743053365803208,-5.318274528904998,313.1116666666667,15.151729732571434,0.885529858250336,318.13916666666665,15.012401794479423,Sell
28,28,2.667M,-3.4,Capital One Financial Corporation,145.47,55335624704,12.17,-2.28%,Financial Services,COF,340579,147.25,148.89,137.61,135.32,131.12,111.66,101.29,97.05,102.39,117.02,109.37,104.21,97.3,96.16,109.08,119.0,92.96,103.24,106.02,92.17,105.82,109.83,104.19,127.86,124.62,131.29,153.27,146.73,145.09,140.53,151.03,161.97,165.97,161.7,154.69,160.78,149.08,127.23,120.19,104.26,98.85,85.64,73.08,71.86,69.03,63.8,62.59,68.04,64.76,50.42,88.26,99.8,102.91,100.01,93.25,90.98,86.62,92.42,90.74,85.87,7.005304847031455,144.58333333333334,4.976138619005248,31.873544689235185,135.3083333333333,12.309540225189384,41.30121869302371,120.26499999999999,17.963983643204905,Buy
30,30,3.431M,-0.86,"MetLife, Inc.",71.855,51952607232,39.70,-1.19%,Financial Services,MET,258515,71.96,74.11,69.74,69.32,66.13,63.63,60.01,62.91,63.34,62.97,56.53,49.55,61.33,57.94,71.73,73.02,72.37,76.7,73.21,60.78,64.33,63.25,62.79,67.39,65.68,70.28,67.55,67.06,62.49,58.66,62.8,61.73,62.0,57.7,59.85,65.36,63.63,60.79,57.6,48.15,46.95,46.17,37.85,37.17,38.46,37.85,36.52,36.01,36.08,30.57,42.72,49.71,50.97,49.91,46.79,47.16,44.3,49.42,49.67,46.21,3.183252079151131,71.93666666666667,1.7841213212360014,13.091309130913075,69.14833333333333,3.4752813635093704,45.22704339051462,64.18333333333332,6.546642056980221,Buy
34,34,4.049M,-0.64,"American International Group, Inc.",74.335,50104168448,14.93,-0.85%,Financial Services,AIG,214802,74.96,78.17,72.89,69.51,67.75,65.81,61.31,60.6,58.52,60.28,57.54,52.83,53.04,50.36,61.11,63.22,63.24,63.11,57.0,47.48,51.75,51.77,51.13,58.68,58.51,62.77,61.24,57.75,56.86,52.6,59.09,54.89,54.56,47.35,47.6,52.84,48.45,46.21,43.95,37.44,37.86,38.44,31.49,27.53,29.14,32.14,31.18,30.06,25.43,24.25,42.16,50.26,51.33,52.66,52.96,55.7,52.04,55.99,53.28,51.07,2.839895733296739,75.33999999999999,2.172233873228204,13.903662057438066,71.515,4.258128501270638,41.88907817527919,65.01416666666667,7.441238089562486,Buy
35,35,1.026M,0.79,"Interactive Brokers Group, Inc.",116.43,48528023552,41.04,+0.68%,Financial Services,IBKR,92125,113.12,111.71,108.72,88.75,82.9,77.84,80.07,86.56,91.08,87.33,83.07,77.23,77.85,82.56,86.11,79.94,72.35,80.3,80.15,63.91,61.59,58.69,55.01,61.54,59.56,65.91,66.18,68.19,79.42,73.82,70.85,62.34,64.64,61.86,65.73,67.26,71.52,73.04,72.39,61.19,60.92,52.76,47.57,48.33,53.02,49.6,41.77,42.35,41.0,43.17,51.1,47.0,46.62,48.42,47.57,53.78,47.2,51.26,54.2,50.8,4.047093451066966,111.18333333333332,1.8344905438719386,45.32374100719424,97.17333333333333,14.418707370018375,46.47157840217532,90.69833333333332,12.517036945255409,Buy
36,36,19.166M,0.3,Walmart Inc.,60.165,484812587008,31.50,+0.49%,Consumer Defensive,WMT,1671686,60.14,60.17,58.61,55.08,52.55,51.9,54.47,53.31,54.2,53.29,52.39,48.96,50.32,49.15,47.38,47.96,47.26,50.81,47.44,43.23,44.18,44.02,40.53,42.88,51.0,49.64,45.05,46.6,48.23,46.88,49.81,46.46,49.37,47.52,47.01,47.34,46.64,45.28,43.31,46.83,48.05,50.93,46.25,46.64,46.28,43.13,39.93,41.35,40.52,37.87,35.89,38.16,39.61,39.7,39.09,39.56,38.09,36.79,36.83,33.81,2.610476027981575,59.64000000000001,0.7284229540589734,15.876685934489407,56.40833333333333,3.4131872527334672,22.834967320261438,54.589166666666664,3.288475985248419,Buy
37,37,1.437M,-1.83,"The Travelers Companies, Inc.",211.6,48454918144,15.71,-0.86%,Financial Services,TRV,102765,214.27,230.14,220.96,211.36,190.49,180.62,167.44,163.31,161.23,172.61,173.66,169.24,181.14,171.41,185.12,191.12,187.49,189.81,184.46,153.2,161.64,158.7,169.13,179.04,171.06,182.73,171.83,166.18,156.43,146.95,160.88,152.01,159.71,148.92,149.71,159.7,154.66,150.4,145.5,136.3,140.37,129.65,120.71,108.19,116.04,114.42,114.05,106.98,101.21,99.35,119.81,131.62,136.95,136.72,131.06,148.69,146.96,146.62,149.52,145.57,-3.027697320782041,221.79,6.505428502412418,18.630273502380692,207.97333333333336,17.151306720545293,26.607185062632947,187.94416666666666,23.63249650316746,Sell
38,38,2.435M,-0.69,Aflac Incorporated,83.59,48098353152,10.74,-0.82%,Financial Services,AFL,126207,83.52,85.86,80.74,84.34,82.5,82.71,78.11,76.75,74.57,72.34,69.8,64.21,69.85,64.52,68.15,73.5,71.94,71.93,65.11,56.2,59.42,57.3,55.33,60.57,57.28,64.39,61.09,62.82,58.39,54.14,53.67,52.13,56.68,55.0,53.66,56.68,53.73,51.18,47.89,45.18,44.47,43.93,33.95,36.35,36.32,35.57,36.03,36.47,37.24,34.24,42.85,51.57,52.9,54.84,53.16,52.32,50.18,52.64,54.81,51.3,3.443150854594998,83.37333333333333,2.0928024804606453,0.9793253536452695,83.27833333333334,1.5928215705331095,30.073197321289523,77.95416666666667,6.358336336827601,Buy
40,40,3.754M,-0.51,The Bank of New York Mellon Corporation,57.02,42640470016,14.26,-0.89%,Financial Services,BK,395958,57.16,57.62,56.09,55.46,52.05,48.32,42.5,42.65,44.87,45.36,44.52,40.2,42.59,45.44,50.88,50.57,45.52,45.9,42.11,38.52,41.53,43.46,41.71,46.61,42.06,49.63,53.15,59.26,58.08,54.79,59.2,51.84,55.22,51.33,51.23,52.08,49.88,47.29,42.16,39.83,42.44,39.12,34.36,34.34,36.98,35.85,38.65,37.17,37.54,33.68,39.9,44.78,50.33,48.97,46.75,45.21,42.06,46.92,44.15,42.69,1.9076484221786292,56.95666666666667,0.6409541498595813,18.294701986754962,54.449999999999996,3.277183750315708,42.18905472636814,48.900000000000006,6.143587442746026,Buy
41,41,1.092M,-2.22,Ares Management Corporation,133.725,41422123008,55.26,-1.64%,Financial Services,ARES,79196,132.01,132.98,132.63,121.48,118.92,112.25,98.59,102.87,103.44,99.22,96.35,87.09,87.59,83.44,80.63,82.99,68.44,78.39,75.83,61.95,74.14,71.65,56.86,71.17,66.22,81.23,81.09,79.72,81.27,81.16,84.74,73.83,77.18,71.61,63.59,55.18,52.52,56.03,51.98,45.16,47.05,45.05,42.3,40.42,40.45,39.94,39.7,37.76,33.55,30.93,34.59,36.06,35.69,33.09,29.57,26.81,29.1,29.25,26.17,25.69,-0.46746588253035104,132.54,0.40108187027920694,17.60356347438752,125.045,7.9889981641421475,51.57882650132045,111.48583333333333,15.182286530873913,Buy
45,45,1.718M,-0.56,Arch Capital Group Ltd.,92.635,34751557632,7.97,-0.60%,Financial Services,ACGL,58412,93.85,92.44,87.59,82.43,74.27,83.69,86.68,79.71,76.86,77.69,74.85,69.7,75.07,67.87,70.0,64.35,62.78,59.91,57.5,45.54,45.72,44.4,45.49,47.46,45.67,48.42,47.11,46.32,44.45,40.38,41.82,38.18,41.1,39.0,38.94,39.89,39.71,38.37,35.82,31.41,36.07,32.2,30.21,29.25,31.54,30.75,28.65,28.22,24.03,28.46,40.43,44.16,42.89,41.97,41.76,41.98,39.5,38.69,37.08,34.43,7.146934581573228,91.29333333333334,2.681173043443647,12.140040626120202,85.71166666666666,6.592916442836373,34.64849354375895,81.64666666666668,7.1677208526994285,Buy
47,47,2.087M,-2.75,Discover Financial Services,126.27,31638841344,14.37,-2.13%,Financial Services,DFS,122466,126.68,131.09,120.7,105.52,112.4,93.0,82.08,86.63,90.07,105.55,116.85,102.74,103.47,98.84,112.0,116.73,97.83,108.36,104.46,90.92,100.49,101.0,94.58,113.49,112.46,110.19,123.44,115.75,115.56,107.85,113.32,122.85,128.22,124.32,118.29,117.26,114.0,94.99,94.07,83.54,90.53,76.17,65.01,57.78,53.08,49.43,50.09,47.51,42.97,35.67,65.58,75.13,84.82,84.87,80.26,81.09,79.97,89.74,77.59,74.55,4.954432477216242,126.15666666666665,4.2578111225787785,36.21505376344087,114.89833333333333,12.963852843794378,23.301537862565713,106.10916666666667,15.310640884873356,Buy
48,48,6.505M,-0.19,The Procter & Gamble Company,162.41,383310364672,26.58,-0.12%,Consumer Defensive,PG,1470479,160.54,162.25,158.94,157.14,146.54,153.52,150.03,145.86,154.34,156.3,151.74,142.5,156.38,148.69,137.56,142.38,151.56,149.16,134.67,126.25,137.94,138.91,143.79,147.88,160.55,152.8,155.89,160.45,163.58,144.58,142.99,139.8,142.39,142.23,134.93,134.85,133.42,135.43,123.53,128.21,139.14,138.87,137.1,138.99,138.33,131.12,119.57,115.92,117.87,110.0,113.23,124.62,124.9,122.06,124.51,124.38,120.23,118.04,109.65,102.91,1.0066691833396213,160.57666666666665,1.3515505498829452,4.572694111516403,156.48833333333332,5.225394456136515,12.659649122807012,153.3083333333333,5.916235899811822,Buy
50,50,14.229M,0.28,The Coca-Cola Company,61.825,266539319296,25.03,+0.45%,Consumer Defensive,KO,4478235,60.55,61.18,60.02,59.49,58.93,58.44,56.49,55.98,59.83,61.93,60.22,59.66,64.15,62.03,59.51,61.32,63.61,63.61,59.85,56.02,61.71,64.17,62.91,63.38,64.61,62.0,62.24,61.01,59.21,52.45,56.37,52.47,56.31,57.03,54.11,55.29,53.98,52.71,48.99,48.15,54.84,51.6,48.06,49.37,49.53,47.24,44.68,46.68,45.89,44.25,53.49,58.4,55.35,53.4,54.43,54.44,55.04,52.63,50.92,49.13,0.8830389870043219,60.583333333333336,0.4741542177627665,3.6105407255304574,59.76833333333334,0.9320124581904592,1.4917867918203163,59.39333333333334,1.6712187834697836,Buy
