avg_vol_3m,change,company_name,last_price,market_cap,pe_ratio_ttm,percent_change,sector_name,symbol,volume
3.424M,-4.39,Berkshire Hathaway Inc.,401.5635,868481433600,9.07,-1.08%,Financial Services,BRK-B,557612
8.914M,-1.69,JPMorgan Chase & Co.,191.39,549689327616,11.55,-0.88%,Financial Services,JPM,1501706
6.041M,-4.25,Visa Inc.,270.77,554022469632,30.29,-1.55%,Financial Services,V,736384
2.41M,-5.07,Mastercard Incorporated,457.4318,426734485504,38.63,-1.10%,Financial Services,MA,378647
40.791M,-0.77,Bank of America Corporation,37.55,295400964096,12.95,-2.01%,Financial Services,BAC,5972380
19.164M,-0.38,Wells Fargo & Company,60.215,210853675008,12.54,-0.64%,Financial Services,WFC,2287970
3.265M,-3.33,American Express Company,235.7883,169603219456,19.41,-1.39%,Financial Services,AXP,506859
8.377M,-2.07,Morgan Stanley,91.78,149292105728,16.69,-2.21%,Financial Services,MS,714208
2.401M,-5.36,"The Goldman Sachs Group, Inc.",417.68,135548436480,16.26,-1.27%,Financial Services,GS,307710
16.14M,-1.13,Citigroup Inc.,61.34,116999913472,17.88,-1.81%,Financial Services,C,2763816
3.673M,-3.44,Blackstone Inc.,120.335,146534350848,42.52,-2.78%,Financial Services,BX,466120
7.292M,-0.99,The Charles Schwab Corporation,74.2,135559684096,31.05,-1.32%,Financial Services,SCHW,664687
1.137M,-0.99,Royal Bank of Canada,96.28,136555847680,12.25,-1.02%,Financial Services,RY,103468
1.433M,-4.09,S&P Global Inc.,409.19,131045957632,49.78,-0.99%,Financial Services,SPGI,442888
2.694M,-2.15,The Progressive Corporation,210.05,123023982592,21.52,-1.01%,Financial Services,PGR,188042
"624,719",-12.33,"BlackRock, Inc.",750.465,111639175168,19.07,-1.62%,Financial Services,BLK,89112
2.91M,-0.36,The Toronto-Dominion Bank,58.305,103371849728,12.62,-0.62%,Financial Services,TD,325724
1.701M,+0.62,Chubb Limited,243.63,98921816064,10.83,+0.26%,Financial Services,CB,222113
1.702M,-1.29,"Marsh & McLennan Companies, Inc.",199.655,98374811648,25.34,-0.64%,Financial Services,MMC,124303
3.685M,-2.20,KKR & Co. Inc.,94.57,84117086208,23.12,-2.27%,Financial Services,KKR,495822
1.713M,+2.80,CME Group Inc.,215.39,77546430464,24.28,+1.32%,Financial Services,CME,225376
2.445M,-1.78,"Intercontinental Exchange, Inc.",130.79,74998775808,31.21,-1.34%,Financial Services,ICE,377222
"734,180",-6.95,Moody's Corporation,374.255,68324741120,42.87,-1.83%,Financial Services,MCO,108169
14.741M,-1.70,"PayPal Holdings, Inc.",63.14,66463690752,16.44,-2.62%,Financial Services,PYPL,2164998
8.522M,-1.11,U.S. Bancorp,40.5,63180001280,13.46,-2.67%,Financial Services,USB,1030930
2.366M,-2.08,"Apollo Global Management, Inc.",110.645,62864175104,13.36,-1.84%,Financial Services,APO,98882
2.099M,-3.19,"The PNC Financial Services Group, Inc.",154.87,61645537280,12.99,-2.02%,Financial Services,PNC,184878
"930,211",-3.83,Aon plc,305,60528779264,24.38,-1.24%,Financial Services,AON,66259
2.667M,-3.40,Capital One Financial Corporation,145.47,55335624704,12.17,-2.28%,Financial Services,COF,340579
13.127M,-2.25,"Coinbase Global, Inc.",222.12,53814124544,617.00,-1.00%,Financial Services,COIN,1821997
3.431M,-0.86,"MetLife, Inc.",71.855,51952607232,39.70,-1.19%,Financial Services,MET,258515
30.052M,+0.00,Nu Holdings Ltd.,10.775,51353006080,51.31,+0.05%,Financial Services,NU,2390664
"871,722",-2.35,Arthur J. Gallagher & Co.,234.4575,51182780416,52.92,-0.99%,Financial Services,AJG,40667
9.712M,-0.95,Truist Financial Corporation,37.84,50633703424,,-2.45%,Financial Services,TFC,741546
4.049M,-0.64,"American International Group, Inc.",74.335,50104168448,14.93,-0.85%,Financial Services,AIG,214802
1.026M,+0.79,"Interactive Brokers Group, Inc.",116.43,48528023552,41.04,+0.68%,Financial Services,IBKR,92125
19.166M,+0.30,Walmart Inc.,60.165,484812587008,31.50,+0.49%,Consumer Defensive,WMT,1671686
1.437M,-1.83,"The Travelers Companies, Inc.",211.6,48454918144,15.71,-0.86%,Financial Services,TRV,102765
2.435M,-0.69,Aflac Incorporated,83.59,48098353152,10.74,-0.82%,Financial Services,AFL,126207
1.693M,-0.30,The Allstate Corporation,171.97,45358637056,,-0.17%,Financial Services,ALL,118503
3.754M,-0.51,The Bank of New York Mellon Corporation,57.02,42640470016,14.26,-0.89%,Financial Services,BK,395958
1.092M,-2.22,Ares Management Corporation,133.725,41422123008,55.26,-1.64%,Financial Services,ARES,79196
"480,411",-8.25,"Ameriprise Financial, Inc.",404.605,40537780224,13.76,-2.00%,Financial Services,AMP,61141
1.579M,-1.71,"Prudential Financial, Inc.",111.05,39909150720,16.48,-1.52%,Financial Services,PRU,69298
"553,822",+1.28,MSCI Inc.,465.93,36912930816,31.83,+0.28%,Financial Services,MSCI,232713
1.718M,-0.56,Arch Capital Group Ltd.,92.635,34751557632,7.97,-0.60%,Financial Services,ACGL,58412
3.331M,-2.50,"Nasdaq, Inc.",59,33969778688,28.37,-4.07%,Financial Services,NDAQ,1679026
2.087M,-2.75,Discover Financial Services,126.27,31638841344,14.37,-2.13%,Financial Services,DFS,122466
6.505M,-0.19,The Procter & Gamble Company,162.41,383310364672,26.58,-0.12%,Consumer Defensive,PG,1470479
2.044M,-4.78,Costco Wholesale Corporation,717.95,318413701120,47.02,-0.66%,Consumer Defensive,COST,213022
14.229M,+0.28,The Coca-Cola Company,61.825,266539319296,25.03,+0.45%,Consumer Defensive,KO,4478235
6.025M,+0.25,"PepsiCo, Inc.",177.66,244245200896,26.76,+0.14%,Consumer Defensive,PEP,1832470
6.094M,-1.85,Philip Morris International Inc.,97.17,151055630336,18.98,-1.87%,Consumer Defensive,PM,859515
8.574M,-0.49,"Mondelez International, Inc.",70.815,95255379968,19.56,-0.69%,Consumer Defensive,MDLZ,4106480
3.838M,-1.50,Target Corporation,163.835,75640979456,18.33,-0.91%,Consumer Defensive,TGT,235251
12.832M,-0.02,"Altria Group, Inc.",42.895,73677733888,9.39,-0.06%,Consumer Defensive,MO,2770743
4.403M,+0.19,Colgate-Palmolive Company,89.065,73210183680,32.15,+0.22%,Consumer Defensive,CL,1111002
5.263M,-1.77,Monster Beverage Corporation,52.565,55051321344,34.13,-3.25%,Consumer Defensive,MNST,1118040
2.604M,-3.60,The Estée Lauder Companies Inc.,143.755,51532288000,110.58,-2.45%,Consumer Defensive,EL,1022000
1.245M,-1.30,"Constellation Brands, Inc.",260.25,47619502080,27.72,-0.50%,Consumer Defensive,STZ,56493
1.843M,-1.08,"The Hartford Financial Services Group, Inc.",98.78,29367195648,12.39,-1.08%,Financial Services,HIG,129458
4.621M,-0.38,Blue Owl Capital Inc.,18.4,26289920000,184.00,-2.02%,Financial Services,OWL,481317
"470,712",-12.65,Willis Towers Watson Public Limited Company,251.835,25752143872,25.34,-4.78%,Financial Services,WTW,194090
"82,164",+95.38,"First Citizens BancShares, Inc.",1735.01,24965058560,2.21,+5.82%,Financial Services,FCNCA,33850
5.299M,-0.76,Fifth Third Bancorp,36.47,24938622976,11.61,-2.04%,Financial Services,FITB,340786
1.044M,-8.72,"Raymond James Financial, Inc.",118.815,24835661824,14.89,-6.84%,Financial Services,RJF,510142
1.184M,-1.76,M&T Bank Corporation,146.2,24359989248,9.88,-1.19%,Financial Services,MTB,168447
1.378M,-2.96,"T. Rowe Price Group, Inc.",108.1,24175917056,13.93,-2.67%,Financial Services,TROW,210533
2.412M,-0.62,"Rocket Companies, Inc.",11.93,23708489728,6.62,-4.94%,Financial Services,RKT,321520
1.216M,-0.42,"Brown & Brown, Inc.",81.71,23307694080,25.22,-0.51%,Financial Services,BRO,98696
"847,067",+1.36,Tradeweb Markets Inc.,104.315,22734098432,61.00,+1.32%,Financial Services,TW,140874
7.864M,-0.28,The Kraft Heinz Company,38.295,46552932352,16.58,-0.71%,Consumer Defensive,KHC,968192
2.232M,-0.27,Kimberly-Clark Corporation,137.51,46300852224,25.18,-0.20%,Consumer Defensive,KMB,402027
11.24M,+1.03,Keurig Dr Pepper Inc.,33.375,45142687744,21.53,+3.20%,Consumer Defensive,KDP,1998677
5.228M,-0.07,The Kroger Co.,56.08,40472264704,18.95,-0.12%,Consumer Defensive,KR,429226
4.258M,-0.27,"General Mills, Inc.",71.34,40274923520,16.36,-0.38%,Consumer Defensive,GIS,462581
2.87M,-0.20,Sysco Corporation,77.09,38377713664,18.85,-0.26%,Consumer Defensive,SYY,231022
2.068M,-1.81,The Hershey Company,186.33,38050824192,20.54,-0.96%,Consumer Defensive,HSY,85847
16.591M,-0.03,Kenvue Inc.,19.095,36560240640,21.22,-0.18%,Consumer Defensive,KVUE,806399
2.32M,-1.37,Dollar General Corporation,141.79,31147151360,18.81,-0.96%,Consumer Defensive,DG,183012
5.391M,-0.72,Archer-Daniels-Midland Company,60.845,30529830912,9.46,-1.16%,Consumer Defensive,ADM,208259
2.938M,-0.93,"Dollar Tree, Inc.",121.46,26476216320,,-0.76%,Consumer Defensive,DLTR,119326
1.29M,-0.35,"Church & Dwight Co., Inc.",107.005,26099052544,35.08,-0.32%,Consumer Defensive,CHD,118669
3.063M,-7.62,Eli Lilly and Company,724.58,688906043392,125.36,-1.04%,Healthcare,LLY,580459
2.356M,-1.44,State Street Corporation,72.85,21964566528,13.42,-1.94%,Financial Services,STT,385746
1.253M,+0.56,W. R. Berkley Corporation,78.405,20114722816,15.53,+0.71%,Financial Services,WRB,190426
"111,095",-3.03,Erie Indemnity Company,379.63,19850815488,44.51,-0.79%,Financial Services,ERIE,4073
"527,638",-2.13,LPL Financial Holdings Inc.,262.41,19602212864,19.15,-0.81%,Financial Services,LPLA,39719
17.718M,-0.27,Huntington Bancshares Incorporated,13.495,19557629952,12.16,-1.93%,Financial Services,HBAN,2012356
"830,954",+2.46,"Cboe Global Markets, Inc.",181.85,19187175424,25.54,+1.37%,Financial Services,CBOE,59777
1.188M,-1.41,"Principal Financial Group, Inc.",80.75,18988361728,31.67,-1.72%,Financial Services,PFG,46922
"52,196",-10.71,Markel Group Inc.,1451.645,18925531136,9.88,-0.73%,Financial Services,MKL,3503
"920,020",-0.95,Cincinnati Financial Corporation,118.97,18641289216,10.20,-0.79%,Financial Services,CINF,41070
4.434M,-0.94,Synchrony Financial,44.08,17693712384,8.49,-2.09%,Financial Services,SYF,714298
8.733M,-0.36,Regions Financial Corporation,19.405,17836843008,10.49,-1.85%,Financial Services,RF,1389472
1.555M,-1.34,Northern Trust Corporation,82.96,16972952576,18.31,-1.59%,Financial Services,NTRS,97558
1.793M,-0.97,Brown-Forman Corporation,48.035,22909859840,23.90,-1.99%,Consumer Defensive,BF-B,155152
2.992M,-0.34,"Tyson Foods, Inc.",60.98,21770407936,,-0.55%,Consumer Defensive,TSN,212943
2.051M,-0.46,"McCormick & Company, Incorporated",75.39,20237316096,28.77,-0.61%,Consumer Defensive,MKC,349029
3.188M,-0.21,Kellanova,58.54,20006572032,26.02,-0.36%,Consumer Defensive,K,142419
3.22M,-0.31,Hormel Foods Corporation,35.285,19325171712,24.33,-0.88%,Consumer Defensive,HRL,167992
1.21M,-0.29,The Clorox Company,147.49,18304395264,230.45,-0.20%,Consumer Defensive,CLX,89578
4.669M,-0.45,"Celsius Holdings, Inc.",71.55,16676159488,92.92,-0.62%,Consumer Defensive,CELH,473980
4.86M,-0.26,"Conagra Brands, Inc.",31.3126,14969395200,15.73,-0.82%,Consumer Defensive,CAG,373252
1.787M,-1.10,Bunge Global SA,104.69,14759718912,7.04,-1.04%,Consumer Defensive,BG,188084
2.756M,0.00,Campbell Soup Company,45.54,13575611392,17.86,0.00%,Consumer Defensive,CPB,282684
1.768M,-0.99,Molson Coors Beverage Company,62.71,13314398208,14.35,-1.55%,Consumer Defensive,TAP,170867
1.298M,-1.68,The J. M. Smucker Company,116.87,12408788992,,-1.42%,Consumer Defensive,SJM,133874
4.55M,+5.12,UnitedHealth Group Incorporated,492.425,453070389248,30.08,+1.05%,Healthcare,UNH,730652
7.631M,-1.76,Johnson & Johnson,146.77,353683406848,19.75,-1.18%,Healthcare,JNJ,1124939
8.365M,+3.34,"Merck & Co., Inc.",130.34,330155098112,931.00,+2.63%,Healthcare,MRK,3207259
5.617M,-1.26,AbbVie Inc.,166.54,294884048896,61.23,-0.75%,Healthcare,ABBV,783068
1.461M,-4.39,Thermo Fisher Scientific Inc.,573,218722107392,37.04,-0.76%,Healthcare,TMO,253727
5.865M,-0.58,Abbott Laboratories,106.305,184458313728,33.12,-0.55%,Healthcare,ABT,349232
2.767M,-4.34,Danaher Corporation,246.0699,182260776960,45.07,-1.73%,Healthcare,DHR,301838
42.212M,-0.59,Pfizer Inc.,25.685,145442324480,69.42,-2.23%,Healthcare,PFE,5418186
2.961M,-4.29,Amgen Inc.,268.725,144137650176,21.53,-1.57%,Healthcare,AMGN,215626
1.557M,-6.19,"Intuitive Surgical, Inc.",368.82,130822660096,66.45,-1.65%,Healthcare,ISRG,181598
1.26M,-3.04,Stryker Corporation,333.815,127006597120,40.46,-0.90%,Healthcare,SYK,112627
"989,240",+2.68,"Elevance Health, Inc.",536.415,124672499712,20.22,+0.50%,Healthcare,ELV,91096
6.481M,+0.35,Boston Scientific Corporation,73.26,107684880384,68.47,+0.48%,Healthcare,BSX,1084778
"797,383",-0.51,Loews Corporation,76.295,16942983168,12.13,-0.67%,Financial Services,L,30748
4.517M,-0.34,"Corebridge Financial, Inc.",26.82,16696791040,15.68,-1.25%,Financial Services,CRBG,223728
3.718M,-1.12,Ally Financial Inc.,38.64,11745709056,15.77,-2.82%,Financial Services,ALLY,445571
2.312M,-1.17,The Carlyle Group Inc.,44.95,16148737024,,-2.54%,Financial Services,CG,128114
"258,611",-4.05,FactSet Research Systems Inc.,418.78,15962134528,33.13,-0.96%,Financial Services,FDS,10101
5.964M,-0.75,"Citizens Financial Group, Inc.",34.77,15941523456,12.51,-2.11%,Financial Services,CFG,448997
"368,912",-2.94,"Everest Group, Ltd.",362.8,15795295232,6.03,-0.80%,Financial Services,EG,8711
"810,593",-0.60,TPG Inc.,43.19,15750486016,,-1.37%,Financial Services,TPG,46892
15.677M,-0.24,"Robinhood Markets, Inc.",17.07,14928517120,,-1.39%,Financial Services,HOOD,1425921
15.676M,-0.46,KeyCorp,14.47,13641968640,18.55,-3.08%,Financial Services,KEY,1785272
1.616M,-1.60,"Fidelity National Financial, Inc.",49.035,13396705280,25.67,-3.17%,Financial Services,FNF,82962
"249,812",-1.09,Credicorp Ltd.,167.13,13286200320,10.27,-0.65%,Financial Services,BAP,16610
1.713M,-0.42,US Foods Holding Corp.,50.355,12350823424,24.93,-0.82%,Consumer Defensive,USFD,73498
2.463M,-0.43,"Lamb Weston Holdings, Inc.",84.09,12141839360,11.20,-0.51%,Consumer Defensive,LW,180296
3.424M,+0.11,"Albertsons Companies, Inc.",20.05,11577029632,8.99,+0.55%,Consumer Defensive,ACI,324094
"956,496",-0.60,Performance Food Group Company,68.785,10701983744,25.10,-0.87%,Consumer Defensive,PFGC,44198
4.117M,-0.27,Coty Inc.,11.425,10227306496,32.64,-2.35%,Consumer Defensive,COTY,408083
1.524M,+0.98,"BJ's Wholesale Club Holdings, Inc.",76.76,10206086144,19.78,+1.29%,Consumer Defensive,BJ,201976
1.518M,-3.30,"e.l.f. Beauty, Inc.",173.68,9640437760,76.51,-1.86%,Consumer Defensive,ELF,502389
"692,898",-0.17,Pilgrim's Pride Corporation,35.8281,8488966144,26.34,-0.48%,Consumer Defensive,PPC,28155
"44,811",-16.01,"Coca-Cola Consolidated, Inc.",825.98,7742480384,19.00,-1.90%,Consumer Defensive,COKE,4425
"409,998",-0.53,Ingredion Incorporated,114.57,7516341760,11.93,-0.46%,Consumer Defensive,INGR,13198
1.205M,-0.09,"BellRing Brands, Inc.",55.525,7272609280,45.14,-0.17%,Consumer Defensive,BRBR,34807
2.01M,-0.09,Darling Ingredients Inc.,43.04,6876931584,10.79,-0.21%,Consumer Defensive,DAR,771180
1.319M,+0.14,"Sprouts Farmers Market, Inc.",65.73,6628805120,26.29,+0.21%,Consumer Defensive,SFM,80084
6.373M,-1.28,Medtronic plc,79.1,105030565888,25.11,-1.59%,Healthcare,MDT,607563
1.205M,-5.54,Vertex Pharmaceuticals Incorporated,395.22,102148169728,28.41,-1.38%,Healthcare,VRTX,102098
1.549M,+0.40,The Cigna Group,352.68,100036624384,20.27,+0.11%,Healthcare,CI,74371
"464,590",-16.62,"Regeneron Pharmaceuticals, Inc.",889.92,97679400960,25.57,-1.83%,Healthcare,REGN,93220
15.457M,-3.58,Bristol-Myers Squibb Company,45.28,91771691008,11.73,-7.33%,Healthcare,BMY,8391999
9.455M,-0.65,CVS Health Corporation,67.12,84603420672,10.37,-0.96%,Healthcare,CVS,1892141
1.079M,-4.45,"HCA Healthcare, Inc.",314.565,83197722624,16.57,-1.40%,Healthcare,HCA,144338
7.193M,-1.06,"Gilead Sciences, Inc.",66.02,82324955136,14.67,-1.58%,Healthcare,GILD,1279627
"681,085",+1.18,McKesson Corporation,536.605,70514188288,24.27,+0.22%,Healthcare,MCK,37834
3.398M,-0.40,Zoetis Inc.,150.485,68763672576,29.68,-0.26%,Healthcare,ZTS,819661
1.355M,-2.15,"Becton, Dickinson and Company",231.685,66934263808,53.26,-0.92%,Healthcare,BDX,90464
3.082M,-3.06,"DexCom, Inc.",134.81,53388263424,103.70,-2.22%,Healthcare,DXCM,363079
3.482M,-0.47,"Franklin Resources, Inc.",24.885,13103395840,13.10,-1.83%,Financial Services,BEN,1013174
"780,250",-0.62,"Ryan Specialty Holdings, Inc.",50.16,13052835840,96.46,-1.22%,Financial Services,RYAN,25028
3.675M,-0.16,Ares Capital Corporation,20.63,12517809152,7.70,-0.77%,Financial Services,ARCC,342961
"356,432",-1.12,"Reinsurance Group of America, Incorporated",189.89,12492160000,14.12,-0.59%,Financial Services,RGA,14344
"127,916",-15.07,"Morningstar, Inc.",287.29,12280268800,87.06,-4.98%,Financial Services,MORN,26575
2.653M,-0.61,"Equitable Holdings, Inc.",37.46,12272494592,10.76,-1.60%,Financial Services,EQH,414837
"218,929",-0.19,CNA Financial Corporation,44.035,11929037824,9.94,-0.44%,Financial Services,CNA,6358
"368,385",-3.09,RenaissanceRe Holdings Ltd.,216.71,11422827520,4.15,-1.41%,Financial Services,RNR,17106
5.457M,-0.37,XP Inc.,20.27,11116818432,14.58,-1.79%,Financial Services,XP,207499
"348,841",+0.32,"American Financial Group, Inc.",130.035,10904397824,12.94,+0.24%,Financial Services,AFG,37323
1.164M,-1.55,"East West Bancorp, Inc.",75.65,10524428288,9.25,-2.01%,Financial Services,EWBC,70835
"175,812",-9.03,"Kinsale Capital Group, Inc.",449.56,10464183296,34.03,-1.97%,Financial Services,KNSL,9134
"561,003",-0.49,"Post Holdings, Inc.",105.65,6410969088,22.72,-0.46%,Consumer Defensive,POST,9875
1.239M,-0.05,"Flowers Foods, Inc.",24.98,5274001920,43.07,-0.20%,Consumer Defensive,FLO,52404
"140,100",-1.03,Lancaster Colony Corporation,187.775,5167755776,40.12,-0.54%,Consumer Defensive,LANC,4125
"604,377",-0.85,"Freshpet, Inc.",103.755,5010598400,,-0.81%,Consumer Defensive,FRPT,42026
"927,822",-0.85,"Ollie's Bargain Outlet Holdings, Inc.",73.855,4532237824,25.29,-1.14%,Consumer Defensive,OLLI,95943
"139,009",-0.32,National Beverage Corp.,44.205,4134993152,24.42,-0.73%,Consumer Defensive,FIZZ,6902
"145,924",-5.73,"Inter Parfums, Inc.",124.79,3995987968,26.27,-4.39%,Consumer Defensive,IPAR,20744
"184,290",+0.14,"Grand Canyon Education, Inc.",129.02,3872999936,18.97,+0.11%,Consumer Defensive,LOPE,23465
"142,579",-2.04,"The Boston Beer Company, Inc.",291.26,3497945344,46.83,-0.70%,Consumer Defensive,SAM,11558
"975,572",+0.58,The Simply Good Foods Company,34.92,3491615744,25.12,+1.69%,Consumer Defensive,SMPL,61331
"13,816",0.00,Graham Holdings Company,717.44,3197637376,16.36,0.00%,Consumer Defensive,GHC,208
"661,979",-0.15,Nomad Foods Limited,18.66,3064326656,15.55,-0.80%,Consumer Defensive,NOMD,9565
"659,138",-0.72,"Cal-Maine Foods, Inc.",58.1,2849125120,10.30,-1.22%,Consumer Defensive,CALM,35288
3.984M,-1.57,Edwards Lifesciences Corporation,87.04,52391723008,37.84,-1.77%,Healthcare,EW,336074
1.266M,+0.76,"Cencora, Inc.",238.71,47567745024,26.00,+0.32%,Healthcare,COR,100433
"955,048",-6.76,IQVIA Holdings Inc.,234.08,42605838336,32.07,-2.81%,Healthcare,IQV,112236
3.026M,-0.55,Centene Corporation,75.645,40462962688,15.28,-0.72%,Healthcare,CNC,397560
3.777M,-3.88,"Moderna, Inc.",104.97,40190914560,,-3.56%,Healthcare,MRNA,645930
"419,775",-11.90,"IDEXX Laboratories, Inc.",482.36,40061972480,47.85,-2.41%,Healthcare,IDXX,38663
1.611M,-2.14,"Agilent Technologies, Inc.",135.355,39666458624,32.38,-1.55%,Healthcare,A,83243
3.517M,-1.53,GE HealthCare Technologies Inc.,85.19,38874583040,28.02,-1.76%,Healthcare,GEHC,133795
1.785M,-5.64,Humana Inc.,310.34,37411176448,19.11,-1.78%,Healthcare,HUM,243836
"974,998",-2.65,Veeva Systems Inc.,197.87,31978561536,61.26,-1.32%,Healthcare,VEEV,108935
1.243M,+0.53,Biogen Inc.,202.52,29438509056,25.32,+0.26%,Healthcare,BIIB,233554
"540,564",-8.73,"West Pharmaceutical Services, Inc.",377.005,27598802944,47.90,-2.26%,Healthcare,WST,143235
1.038M,-3.32,ResMed Inc.,180.455,26542944256,29.83,-1.81%,Healthcare,RMD,85125
22.934M,-5.65,Alphabet Inc.,155.45,1919854182400,26.80,-3.51%,Communication Services,GOOG,7670019
1.831M,-0.23,UWM Holdings Corporation,6.33,10106350592,,-3.51%,Financial Services,UWMC,391709
1.431M,-0.24,Unum Group,51.37,9859033088,7.90,-0.46%,Financial Services,UNM,44628
1.016M,-1.08,Jefferies Financial Group Inc.,43.52,9228154880,34.82,-2.42%,Financial Services,JEF,61263
"357,191",-1.11,"Assurant, Inc.",175.94,9158011904,14.72,-0.63%,Financial Services,AIZ,8887
"530,122",-1.23,SEI Investments Company,65.37,8597266432,18.89,-1.85%,Financial Services,SEIC,89835
"341,583",-3.18,"Houlihan Lokey, Inc.",124.815,8624117760,32.09,-2.49%,Financial Services,HLI,54746
5.445M,-0.28,Newell Brands Inc.,6.755,2804412672,,-4.05%,Consumer Defensive,NWL,934616
1.272M,+0.13,Grocery Outlet Holding Corp.,27.49,2751391488,34.80,+0.47%,Consumer Defensive,GO,55571
"763,080",+0.22,"Stride, Inc.",63.445,2744307200,14.86,+0.34%,Consumer Defensive,LRN,70173
"93,496",+10.77,"Strategic Education, Inc.",111.42,2741656064,38.29,+10.70%,Consumer Defensive,STRA,52760
"94,062",-1.40,J&J Snack Foods Corp.,137.4,2662784512,33.43,-1.01%,Consumer Defensive,JJSF,5449
"121,994",-0.55,Central Garden & Pet Company,41.39,2601949184,20.49,-1.31%,Consumer Defensive,CENT,2327
5.105M,-0.18,"Hims & Hers Health, Inc.",12.165,2606351360,,-1.42%,Consumer Defensive,HIMS,351098
"157,191",-0.50,"PriceSmart, Inc.",80.41,2464960512,20.25,-0.62%,Consumer Defensive,PSMT,7681
"361,420",-1.67,"Spectrum Brands Holdings, Inc.",79.525,2407348992,,-2.05%,Consumer Defensive,SPB,19591
1.116M,-0.36,BBB Foods Inc.,20.24,2270948096,,-1.75%,Consumer Defensive,TBBB,58326
"662,720",+0.12,"Laureate Education, Inc.",14.44,2240510208,19.51,+0.84%,Consumer Defensive,LAUR,39371
2.86M,+0.01,"Krispy Kreme, Inc.",13.03,2198160896,,+0.08%,Consumer Defensive,DNUT,172569
"76,219",+0.26,"Tootsie Roll Industries, Inc.",30.57,2180066048,23.16,+0.86%,Consumer Defensive,TR,4310
"132,462",-26.87,Mettler-Toledo International Inc.,1208.5,25847277568,33.62,-2.18%,Healthcare,MTD,8772
2.375M,+0.78,"Cardinal Health, Inc.",104.32,25374064640,41.40,+0.75%,Healthcare,CAH,142513
"542,824",-2.46,ICON Public Limited Company,306.98,25324347392,41.48,-0.79%,Healthcare,ICLR,195843
1.388M,-1.58,"Zimmer Biomet Holdings, Inc.",119.59,24571078656,24.51,-1.30%,Healthcare,ZBH,51106
"743,672",-13.44,"Align Technology, Inc.",300.34,22609383424,51.78,-4.28%,Healthcare,ALGN,461298
"392,929",-2.21,"Molina Healthcare, Inc.",365.2,21394804736,19.46,-0.60%,Healthcare,MOH,126959
3.59M,-0.83,Baxter International Inc.,40.1,20424814592,,-2.03%,Healthcare,BAX,410348
"489,120",-1.78,STERIS plc,201.025,19864084480,35.27,-0.88%,Healthcare,STE,23059
1.666M,-4.89,"Illumina, Inc.",117.98,18788907008,,-3.98%,Healthcare,ILMN,123269
"414,151",-4.31,Waters Corporation,305.94,18145241088,28.25,-1.39%,Healthcare,WAT,25702
"848,977",-1.15,"Alnylam Pharmaceuticals, Inc.",142.655,18039009280,,-0.80%,Healthcare,ALNY,34890
1.79M,-1.22,"Hologic, Inc.",75.49,17719918592,35.78,-1.59%,Healthcare,HOLX,77373
1.134M,-1.64,"The Cooper Companies, Inc.",88.555,17600837632,60.65,-1.82%,Healthcare,COO,119619
17.684M,-58.99,"Meta Platforms, Inc.",434.51,1102147616768,29.26,-11.95%,Communication Services,META,25423621
3.911M,+1.40,"Netflix, Inc.",556.52,239805022208,38.57,+0.25%,Communication Services,NFLX,824512
11.728M,-2.79,The Walt Disney Company,111.13,203845763072,68.18,-2.45%,Communication Services,DIS,1810294
4.421M,-1.73,"T-Mobile US, Inc.",162.45,192807026688,23.44,-1.05%,Communication Services,TMUS,885847
18.746M,-0.39,Verizon Communications Inc.,39.105,164592943104,14.65,-0.97%,Communication Services,VZ,2671436
21.533M,-2.61,Comcast Corporation,37.6,149341929472,10.13,-6.49%,Communication Services,CMCSA,7076719
38.129M,-0.28,AT&T Inc.,16.53,118576799744,8.39,-1.67%,Communication Services,T,7894490
2.306M,+2.36,Spotify Technology S.A.,283.59,56243556352,,+0.84%,Communication Services,SPOT,736431
3.686M,+0.57,"DoorDash, Inc.",127.33,51441831936,,+0.45%,Communication Services,DASH,976805
1.694M,-7.45,"Charter Communications, Inc.",257.2475,37142937600,8.58,-2.82%,Communication Services,CHTR,288196
2.183M,-1.12,Electronic Arts Inc.,127.02,33958795264,31.99,-0.87%,Communication Services,EA,138580
1.803M,-1.32,"Take-Two Interactive Software, Inc.",141.515,24163119104,,-0.92%,Communication Services,TTWO,72468
"242,283",+0.65,Helen of Troy Limited,91.36,2175281664,13.00,+0.72%,Consumer Defensive,HELE,68192
1.186M,-0.18,WK Kellogg Co,23.95,2055331584,18.71,-0.75%,Consumer Defensive,KLG,149526
"555,733",-0.52,"TreeHouse Foods, Inc.",36.23,1951405696,34.50,-1.41%,Consumer Defensive,THS,14122
"179,061",-1.54,"The Andersons, Inc.",55.84,1901340800,18.99,-2.68%,Consumer Defensive,ANDE,21929
"358,993",-0.67,Edgewell Personal Care Company,37.5559,1875282560,18.23,-1.76%,Consumer Defensive,EPC,10984
1.745M,-0.11,"Coursera, Inc.",11.81,1857996544,,-0.92%,Consumer Defensive,COUR,153584
"573,379",-0.05,Adtalem Global Education Inc.,47.16,1848110848,16.90,-0.11%,Consumer Defensive,ATGE,17094
"102,435",-0.09,"Weis Markets, Inc.",64.25,1728222208,16.65,-0.14%,Consumer Defensive,WMK,3274
"218,403",-0.76,"MGP Ingredients, Inc.",77.14,1697728000,16.07,-0.98%,Consumer Defensive,MGPI,11850
